JD,Magnitude
2457386.2,7.4
2457386.2396,7.2
2457386.27,7.3
2457387.171,6.7
2457387.3,6.9
2457387.3694,7
2457388.2,7.7
2457388.31,6.5
2457388.719,6.7
2457389.298,6.7
2457390.216,7
2457391.22,7.3
2457391.5,7.8
2457392.51108,6.949
2457393.19236,6.8
2457393.2014,7.3
2457394.7375,7.2
2457395.2,7.6
2457395.26,6.5
2457395.3,7.1
2457395.7021,6.9
2457396.1875,6.8
2457396.218,6.8
2457396.2715,7.1
2457396.3,6.6
2457396.76806,6.6
2457397.186,6.8
2457397.3569,7
2457398.2299,7
2457399.43,6.3
2457400.3201,7
2457401.18,6.8
2457401.69,7.4
2457402.2,7.1
2457402.349,7.06
2457403.2847,7.8
2457405.2042,7.3
2457405.2618,7.3
2457405.72,7.4
2457405.73,6.7
2457406,7.7
2457406.2,7.7
2457406.2,7.2
2457406.7264,7
2457407.2201,7
2457408.26,6.5
2457408.3,7.3
2457408.6,6.7
2457409.19,6.7
2457409.2569,7.3
2457409.725,7
2457410.215,6.8
2457412.3,7
2457413.304,6.9
2457413.375,7
2457414.2,7.2
2457415.72,6.5
2457416.215,6.9
2457416.3,7.9
2457416.6986,6.9
2457417.2,7.3
2457418.668,7
2457422.217,7.1
2457423.2847,7.6
2457423.6,7.2
2457424,8.3
2457425.2882,7
2457425.3,8
2457427.732,7.3
2457429.72,6.8
2457430.22,7.4
2457430.25,7.1
2457430.7021,7.2
2457432.684,8.4
2457432.9,8.7
2457433.07095,7.558
2457433.07144,7.526
2457434.07603,7.604
2457434.2396,8
2457435.04404,7.637
2457435.22,7.3
2457435.6972,8.5
2457435.7042,7
2457438.02205,7.641
2457439.05551,7.74
2457439.05593,7.733
2457441.34861,7.8
2457441.72,7
2457442.01044,7.849
2457442.01083,7.856
2457442.23,7.6
2457442.6944,7.6
2457443.00767,7.876
2457443.00806,7.876
2457444.00498,7.903
2457444.7097,7.6
2457444.9,8.7
2457445.00213,7.937
2457445.00253,7.922
2457445.6493,7.7
2457445.67,8.2
2457445.99972,7.962
2457446.00013,7.928
2457446.631,7.8
2457446.94444,8.1
2457446.99671,7.952
2457446.99671,7.957
2457446.99712,7.89
2457447.99406,7.919
2457447.99448,7.961
2457448.293,7.8
2457448.99135,7.982
2457448.99183,7.965
2457449.99049,8.035
2457449.99089,8.009
2457450.356,7.9
2457450.98619,8.073
2457450.9866,8.059
2457451.7083,9
2457452.05324,8.096
2457452.05365,8.07
2457455.70833,8.2
2457456.383,8.4
2457456.6,8.1
2457456.675,7.9
2457457.349,8.4
2457457.584,8.6
2457457.63542,8.1
2457457.70833,8.7
2457458.03116,8.242
2457458.03156,8.231
2457459.04128,8.367
2457459.04221,8.259
2457459.88472,8.7
2457459.9,9
2457461.6549,8.7
2457462.03638,8.344
2457462.03679,8.343
2457463.03779,8.369
2457463.03819,8.362
2457463.6118,8.9
2457463.93819,8.4
2457463.96221,8.525
2457463.96271,8.474
2457464.349,8.4
2457465.00753,8.421
2457465.00795,8.424
2457465.58,9.1
2457465.6368,8.3
2457465.6458,9
2457466.03215,8.453
2457466.03257,8.449
2457466.63,8.52
2457467.00876,8.474
2457467.00917,8.465
2457468.01682,8.493
2457468.01723,8.468
2457469.8,8.8
2457469.95354,8.567
2457469.95403,8.573
2457470.97417,8.597
2457470.97458,8.604
2457471.346,8.5
2457471.92789,8.623
2457471.9283,8.61
2457473.92248,8.695
2457473.92356,8.686
2457474.63,9
2457475.01951,8.713
2457475.01993,8.696
2457475.298,8.8
2457477.299,8.8
2457478.03269,8.792
2457478.0331,8.793
2457478.38333,8.8
2457478.4139,8.5
2457480.0061,8.861
2457480.00649,8.86
2457480.5979,8.9
2457480.8,9.6
2457480.90333,8.889
2457480.90375,8.865
2457481.5799,8.9
2457481.603,8.8
2457481.9027,8.928
2457481.90311,8.909
2457482.92535,8.951
2457482.92576,8.945
2457483.924,8.983
2457483.92441,8.984
2457484.5271,9.3
2457484.93745,9.007
2457484.93786,9.007
2457485.3951,9
2457485.64,9.3
2457485.94521,9.055
2457485.94563,8.991
2457486.305,8.8
2457486.3882,9.2
2457486.45903,9.22
2457486.6319,9.9
2457487.3847,9.3
2457487.61458,10
2457488.59,9.5
2457489.315,9.4
2457489.4854,9.2
2457489.552,9.38
2457490.462454,9.379
2457490.6354,9.7
2457490.8,9.8
2457491.01872,9.225
2457491.01911,9.221
2457491.4944,9.3
2457492.6076,10.2
2457493.4472,9.4
2457494.00404,9.307
2457494.00444,9.317
2457494.3,9.8
2457494.3285,9.4
2457494.346,9.3
2457494.56,10
2457495.66,9.4
2457496.02263,9.394
2457496.02302,9.391
2457496.6125,9.4
2457497.02345,9.416
2457497.02385,9.416
2457497.475729,9.557
2457497.5639,9.5
2457498.01957,9.435
2457498.01997,9.441
2457498.55,9.7
2457498.642685,9.589
2457498.643218,9.624
2457499.334,9.5
2457499.3938,9.6
2457499.631065,9.64
2457499.85153,9.499
2457499.85194,9.51
2457500.3931,9.5
2457500.94931,9.5
2457501.4896,10.4
2457501.52292,9.5
2457501.8,10.2
2457502.315,9.7
2457502.4667,9.5
2457503.5625,9.5
2457504.5035,9.7
2457504.56,10.1
2457505.432627,9.912
2457507.3438,9.9
2457507.4653,10.5
2457508.4,10.3
2457509.5,10.2
2457510.3646,9.9
2457510.4,10.5
2457511.342,9.9
2457512.403113,10.038
2457512.403854,10.034
2457512.4618,9.7
2457512.59,10.3
2457512.8,10.8
2457513.342,9.9
2457513.6222,9.6
2457514.4132,10.1
2457514.73264,10.3
2457515.356,9.9
2457515.4,9.8
2457515.4056,10.4
2457516.353,9.9
2457516.3542,10
2457516.38,10
2457516.44,9.7
2457516.48,10.5
2457516.6,9.9
2457517.3,10.1
2457517.3875,10.4
2457518.3958,10.6
2457518.4,9.9
2457519.345,9.9
2457519.3549,10.6
2457520.3944,10.6
2457520.5174,10.7
2457521.5764,10.6
2457521.75764,10.7
2457522.4583,9.7
2457522.7,11.2
2457523.379,9.9
2457523.59,10.4
2457524.5,11
2457525.537,10.42
2457527.56,10.5
2457529.37,10.6
2457529.4632,10
2457529.563,10.54
2457529.97411,10.424
2457529.97457,10.435
2457530.579,10.52
2457531.52,10.6
2457532.419167,10.605
2457534.5,11.1
2457534.99473,10.577
2457534.99512,10.589
2457535.4472,9.7
2457535.94872,9.911
2457535.94981,10.592
2457536.4514,11
2457537.43,11.4
2457537.95747,10.727
2457537.95855,10.634
2457538.3771,11
2457538.73611,10.7
2457538.95789,10.696
2457538.95843,10.688
2457539.3951,11
2457539.6,11.8
2457539.94997,10.719
2457539.95047,10.709
2457540.0927,10.9
2457540.39,10.8
2457540.77054,10.736
2457540.77104,10.742
2457541.86293,10.756
2457541.86333,10.765
2457542.6,10.7
2457542.90104,10.804
2457542.90146,10.806
2457543.33611,10.6
2457543.4306,9.7
2457543.778,10.7
2457543.78958,11.1
2457543.96385,10.837
2457543.96428,10.831
2457544.44,11.6
2457544.95209,10.843
2457544.95265,10.859
2457545.434,11.1
2457546.4,11.6
2457546.4181,11.1
2457546.5,10.7
2457546.96337,10.928
2457546.9638,10.934
2457547.4,11.2
2457547.45,11.7
2457547.6,11
2457547.97733,10.94
2457547.97781,10.959
2457548.28472,10.8
2457548.41,11.2
2457548.434,10.9
2457548.96336,10.977
2457548.96387,10.986
2457549.4167,11.4
2457549.97329,11.016
2457550.29028,11.3
2457550.4194,9.7
2457550.98318,11.044
2457550.98361,11.062
2457551.45,11.7
2457552.97132,11.093
2457552.97172,11.088
2457554.77632,11.6
2457555.29861,11.4
2457556.3,11.9
2457556.5,11.7
2457557.29583,11.8
2457557.652,11.4
2457557.89932,11.24
2457557.89988,11.241
2457558.384,11.6
2457558.44,12
2457558.97375,11.294
